,center-point,bbox
0,"[31.0, 129.0]","[30.785988358194707, 128.82024572409517, 31.214011641805293, 129.17975427590483]"
1,"[31.0, 129.35950855180968]","[30.785988358194707, 129.17975427590486, 31.214011641805293, 129.53926282771451]"
2,"[31.0, 129.71901710361936]","[30.785988358194707, 129.53926282771454, 31.214011641805293, 129.89877137952419]"
3,"[31.0, 130.07852565542905]","[30.785988358194707, 129.89877137952422, 31.214011641805293, 130.25827993133387]"
4,"[31.0, 130.43803420723873]","[30.785988358194707, 130.2582799313339, 31.214011641805293, 130.61778848314356]"
5,"[31.0, 130.79754275904841]","[30.785988358194707, 130.61778848314358, 31.214011641805293, 130.97729703495324]"
6,"[31.0, 131.15705131085809]","[30.785988358194707, 130.97729703495327, 31.214011641805293, 131.33680558676292]"
7,"[31.0, 131.51655986266778]","[30.785988358194707, 131.33680558676295, 31.214011641805293, 131.6963141385726]"
8,"[31.0, 131.87606841447746]","[30.785988358194707, 131.69631413857263, 31.214011641805293, 132.05582269038229]"
9,"[31.428023283610582, 129.0]","[31.214011641805289, 128.82024572409517, 31.642034925415874, 129.17975427590483]"
10,"[31.428023283610582, 129.35950855180968]","[31.214011641805289, 129.17975427590486, 31.642034925415874, 129.53926282771451]"
11,"[31.428023283610582, 129.71901710361936]","[31.214011641805289, 129.53926282771454, 31.642034925415874, 129.89877137952419]"
12,"[31.428023283610582, 130.07852565542905]","[31.214011641805289, 129.89877137952422, 31.642034925415874, 130.25827993133387]"
13,"[31.428023283610582, 130.43803420723873]","[31.214011641805289, 130.2582799313339, 31.642034925415874, 130.61778848314356]"
14,"[31.428023283610582, 130.79754275904841]","[31.214011641805289, 130.61778848314358, 31.642034925415874, 130.97729703495324]"
15,"[31.428023283610582, 131.15705131085809]","[31.214011641805289, 130.97729703495327, 31.642034925415874, 131.33680558676292]"
16,"[31.428023283610582, 131.51655986266778]","[31.214011641805289, 131.33680558676295, 31.642034925415874, 131.6963141385726]"
17,"[31.428023283610582, 131.87606841447746]","[31.214011641805289, 131.69631413857263, 31.642034925415874, 132.05582269038229]"
18,"[31.856046567221163, 129.0]","[31.642034925415871, 128.82024572409517, 32.070058209026456, 129.17975427590483]"
19,"[31.856046567221163, 129.35950855180968]","[31.642034925415871, 129.17975427590486, 32.070058209026456, 129.53926282771451]"
20,"[31.856046567221163, 129.71901710361936]","[31.642034925415871, 129.53926282771454, 32.070058209026456, 129.89877137952419]"
21,"[31.856046567221163, 130.07852565542905]","[31.642034925415871, 129.89877137952422, 32.070058209026456, 130.25827993133387]"
22,"[31.856046567221163, 130.43803420723873]","[31.642034925415871, 130.2582799313339, 32.070058209026456, 130.61778848314356]"
23,"[31.856046567221163, 130.79754275904841]","[31.642034925415871, 130.61778848314358, 32.070058209026456, 130.97729703495324]"
24,"[31.856046567221163, 131.15705131085809]","[31.642034925415871, 130.97729703495327, 32.070058209026456, 131.33680558676292]"
25,"[31.856046567221163, 131.51655986266778]","[31.642034925415871, 131.33680558676295, 32.070058209026456, 131.6963141385726]"
26,"[31.856046567221163, 131.87606841447746]","[31.642034925415871, 131.69631413857263, 32.070058209026456, 132.05582269038229]"
27,"[32.284069850831742, 129.0]","[32.070058209026449, 128.82024572409517, 32.498081492637034, 129.17975427590483]"
28,"[32.284069850831742, 129.35950855180968]","[32.070058209026449, 129.17975427590486, 32.498081492637034, 129.53926282771451]"
29,"[32.284069850831742, 129.71901710361936]","[32.070058209026449, 129.53926282771454, 32.498081492637034, 129.89877137952419]"
30,"[32.284069850831742, 130.07852565542905]","[32.070058209026449, 129.89877137952422, 32.498081492637034, 130.25827993133387]"
31,"[32.284069850831742, 130.43803420723873]","[32.070058209026449, 130.2582799313339, 32.498081492637034, 130.61778848314356]"
32,"[32.284069850831742, 130.79754275904841]","[32.070058209026449, 130.61778848314358, 32.498081492637034, 130.97729703495324]"
33,"[32.284069850831742, 131.15705131085809]","[32.070058209026449, 130.97729703495327, 32.498081492637034, 131.33680558676292]"
34,"[32.284069850831742, 131.51655986266778]","[32.070058209026449, 131.33680558676295, 32.498081492637034, 131.6963141385726]"
35,"[32.284069850831742, 131.87606841447746]","[32.070058209026449, 131.69631413857263, 32.498081492637034, 132.05582269038229]"
36,"[32.712093134442327, 129.0]","[32.498081492637034, 128.82024572409517, 32.92610477624762, 129.17975427590483]"
37,"[32.712093134442327, 129.35950855180968]","[32.498081492637034, 129.17975427590486, 32.92610477624762, 129.53926282771451]"
38,"[32.712093134442327, 129.71901710361936]","[32.498081492637034, 129.53926282771454, 32.92610477624762, 129.89877137952419]"
39,"[32.712093134442327, 130.07852565542905]","[32.498081492637034, 129.89877137952422, 32.92610477624762, 130.25827993133387]"
40,"[32.712093134442327, 130.43803420723873]","[32.498081492637034, 130.2582799313339, 32.92610477624762, 130.61778848314356]"
41,"[32.712093134442327, 130.79754275904841]","[32.498081492637034, 130.61778848314358, 32.92610477624762, 130.97729703495324]"
42,"[32.712093134442327, 131.15705131085809]","[32.498081492637034, 130.97729703495327, 32.92610477624762, 131.33680558676292]"
43,"[32.712093134442327, 131.51655986266778]","[32.498081492637034, 131.33680558676295, 32.92610477624762, 131.6963141385726]"
44,"[32.712093134442327, 131.87606841447746]","[32.498081492637034, 131.69631413857263, 32.92610477624762, 132.05582269038229]"
45,"[33.140116418052912, 129.0]","[32.92610477624762, 128.82024572409517, 33.354128059858205, 129.17975427590483]"
46,"[33.140116418052912, 129.35950855180968]","[32.92610477624762, 129.17975427590486, 33.354128059858205, 129.53926282771451]"
47,"[33.140116418052912, 129.71901710361936]","[32.92610477624762, 129.53926282771454, 33.354128059858205, 129.89877137952419]"
48,"[33.140116418052912, 130.07852565542905]","[32.92610477624762, 129.89877137952422, 33.354128059858205, 130.25827993133387]"
49,"[33.140116418052912, 130.43803420723873]","[32.92610477624762, 130.2582799313339, 33.354128059858205, 130.61778848314356]"
50,"[33.140116418052912, 130.79754275904841]","[32.92610477624762, 130.61778848314358, 33.354128059858205, 130.97729703495324]"
51,"[33.140116418052912, 131.15705131085809]","[32.92610477624762, 130.97729703495327, 33.354128059858205, 131.33680558676292]"
52,"[33.140116418052912, 131.51655986266778]","[32.92610477624762, 131.33680558676295, 33.354128059858205, 131.6963141385726]"
53,"[33.140116418052912, 131.87606841447746]","[32.92610477624762, 131.69631413857263, 33.354128059858205, 132.05582269038229]"
54,"[33.56813970166349, 129.0]","[33.354128059858198, 128.82024572409517, 33.782151343468783, 129.17975427590483]"
55,"[33.56813970166349, 129.35950855180968]","[33.354128059858198, 129.17975427590486, 33.782151343468783, 129.53926282771451]"
56,"[33.56813970166349, 129.71901710361936]","[33.354128059858198, 129.53926282771454, 33.782151343468783, 129.89877137952419]"
57,"[33.56813970166349, 130.07852565542905]","[33.354128059858198, 129.89877137952422, 33.782151343468783, 130.25827993133387]"
58,"[33.56813970166349, 130.43803420723873]","[33.354128059858198, 130.2582799313339, 33.782151343468783, 130.61778848314356]"
59,"[33.56813970166349, 130.79754275904841]","[33.354128059858198, 130.61778848314358, 33.782151343468783, 130.97729703495324]"
60,"[33.56813970166349, 131.15705131085809]","[33.354128059858198, 130.97729703495327, 33.782151343468783, 131.33680558676292]"
61,"[33.56813970166349, 131.51655986266778]","[33.354128059858198, 131.33680558676295, 33.782151343468783, 131.6963141385726]"
62,"[33.56813970166349, 131.87606841447746]","[33.354128059858198, 131.69631413857263, 33.782151343468783, 132.05582269038229]"
63,"[33.996162985274069, 129.0]","[33.782151343468776, 128.82024572409517, 34.210174627079361, 129.17975427590483]"
64,"[33.996162985274069, 129.35950855180968]","[33.782151343468776, 129.17975427590486, 34.210174627079361, 129.53926282771451]"
65,"[33.996162985274069, 129.71901710361936]","[33.782151343468776, 129.53926282771454, 34.210174627079361, 129.89877137952419]"
66,"[33.996162985274069, 130.07852565542905]","[33.782151343468776, 129.89877137952422, 34.210174627079361, 130.25827993133387]"
67,"[33.996162985274069, 130.43803420723873]","[33.782151343468776, 130.2582799313339, 34.210174627079361, 130.61778848314356]"
68,"[33.996162985274069, 130.79754275904841]","[33.782151343468776, 130.61778848314358, 34.210174627079361, 130.97729703495324]"
69,"[33.996162985274069, 131.15705131085809]","[33.782151343468776, 130.97729703495327, 34.210174627079361, 131.33680558676292]"
70,"[33.996162985274069, 131.51655986266778]","[33.782151343468776, 131.33680558676295, 34.210174627079361, 131.6963141385726]"
71,"[33.996162985274069, 131.87606841447746]","[33.782151343468776, 131.69631413857263, 34.210174627079361, 132.05582269038229]"
